Symbol,Exp000978,Exp000979,Exp000980,Exp000977
ASH2L,8.81515612145,8.57212958352,8.40418666895,8.61855893672
NKX2-4,7.91573243908,7.37013798411,7.40142207817,7.49968615466
RCL1,7.33925493173,6.60575959027,7.00198358616,7.36835119217
GUF1,0,0,6.72551448778,6.79394677491
SPATA5,7.15399697357,0,7.06290970517,7.38314790495
PIK3C2A,6.50780523133,6.33827425588,0,0
MYBBP1A,8.12253098072,8.82496636378,8.40372135744,7.27447924764
ZBTB10,0,0,0,7.85490383491
ECHDC1,0,6.67378888106,7.52318468312,0
WDR43,8.05194399922,7.52703381653,7.43392998418,7.91301273984
FBXO45,0,7.39391821961,5.62309111846,5.2903368316
MED8,8.15323913739,0,7.83001518371,8.1762636661
MAPK3,0,5.74495545399,6.28840804402,0
CXXC5,7.10588016979,7.53457350987,0,6.70309267063
ERCC2,8.41681994474,7.73204554636,6.97924137897,7.97785837635
MBTD1,7.72339142212,7.34580986828,6.55481811587,7.59808898575
RSBN1L,0,0,6.53518240746,7.6147778021
FNBP4,6.98088520479,0,0,0
HOMEZ,7.38504806693,6.79559170128,6.29248216895,7.22595292481
INTS1,8.41630044941,7.84973068969,7.87400654404,8.05891767397
ZSCAN26,6.32768075064,0,7.32778352842,6.26341520287
CPSF6,7.23108250674,7.10318757256,7.52190665514,7.63866502817
ZFP64,7.34287665493,7.58766921026,7.52574609009,0
KDM2A,8.41676666291,8.54180519647,8.62329352276,8.39644591535
CDK11B,6.61127976209,0,7.16106247931,0
TRMT1L,0,0,0,7.46502919729
NACA,0,6.09761595124,6.06687938368,0
MMAB,0,5.53992013998,0,0
NACC1,0,6.56078860624,6.89792690014,0
DNTTIP1,8.37506558963,8.73024115386,8.91410238673,8.25734933482
SMARCA1,9.10544231811,0,0,9.21824234448
GATAD2A,8.17538762727,7.87219816669,7.95675131575,8.3202059873
FANCI,8.07300724161,8.07322374675,8.24206385744,7.87549495147
MGME1,7.3530678007,7.44862044514,7.47826812963,6.42066937442
HSPA5,8.66328493035,8.19078372688,8.4298630163,8.47789575595
METTL15,6.85876837311,0,0,6.77901121616
